id,ref_id,name,version,last_change,f_category,description,flow_type,infrastructure_flow,cas_number,formula,f_reference_flow_property,f_location,synonyms
551,653e5b93-518c-9a8f-037c-998c947532a9,CUTOFF spare part set; sprayers; 175-300HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
553,49dea1c9-4de3-1e4e-4fb1-fecd42b35ebd,CUTOFF equ. retirement; sprayers; 175-300HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
555,5d02b9a7-706d-bfd1-d111-4013679c576e,CUTOFF spare part set; loaders/backhoes; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
557,35e8f7f8-9bfb-75a0-130c-24ea6ca03728,CUTOFF production; loaders/backhoes; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
559,2fb9a8ff-05d5-adb1-092d-3d332ca6ebb5,"CUTOFF gasoline; for offroad use; at refinery; RVP8, S%0.034, EtOH m%0.81b%0.087",0,0,67,,PRODUCT_FLOW,0,,,334,,
561,c728bfb9-eebf-72f9-9ee4-ca72896d25db,CUTOFF equ. retirement; loaders/backhoes; 25-50HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
563,33d36c26-1973-3001-8610-7a415b4dbd5b,"work; loaders/backhoes for corn harvest, 2014 fleet, all fuels; 25-50HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
565,beba04aa-e4d2-34ad-919d-dc811fa8207f,"work; loaders/backhoes for win wheat harvest, 2014 fleet, all fuels; 175-300HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
567,632b3786-c9f5-3b51-a25b-05e786c97c91,"work; sprayers for soybeans harvest, 2014 fleet, all fuels; 50-100HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
569,56b6faca-d95e-d40f-372f-ff8cf759a5e5,CUTOFF production; sprayers; 50-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
571,3d2c3666-b8c5-64f1-f5b7-0d0221d91ba8,CUTOFF spare part set; sprayers; 50-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
573,85095e3a-d1a9-2bdf-b028-e674aa02387a,CUTOFF equ. retirement; sprayers; 50-100HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
575,c595fe89-c993-3d7a-9170-ee16c971ca58,"work; skid steers for peanuts harvest, 2014 fleet, all fuels; 50-100HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
577,6bc7589a-7938-8291-8ce9-d1c1096f78a4,"CUTOFF gasoline; for offroad use; at refinery; RVP8, S%0.034, EtOH m%0.93b%0.104",0,0,67,,PRODUCT_FLOW,0,,,334,,
579,35779bd1-51fe-38b4-831d-7a9bbbfb6098,"work; sprayers for corn harvest, 2014 fleet, all fuels; 25-50HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
581,604fe1e8-4077-c5e1-a254-5be4ec25f0d2,CUTOFF spare part set; sprayers; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
583,341dd7c6-2d3c-be43-0be2-6cf223b411a8,CUTOFF equ. retirement; sprayers; 25-50HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
585,b1154960-44a7-17e0-a24e-dacbd10fcb7f,CUTOFF production; sprayers; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
587,530b5ffe-c886-3bb0-9278-aa5aaecb978e,"work; skid steers for soybeans harvest, 2014 fleet, all fuels; 25-50HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
589,ffc88bcb-9a58-f5f7-d121-3d99b3d734b0,CUTOFF equ. retirement; skid steers; 25-50HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
591,52d45040-152d-2e32-27c9-9e14961ae0e7,CUTOFF spare part set; skid steers; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
593,f809d39e-8f80-c371-ffc3-ea145478d9ce,CUTOFF production; skid steers; 25-50HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
595,d32a3f47-7aea-f213-e693-d4be3ce57027,CUTOFF equ. retirement; loaders/backhoes; 50-100HP,0,0,62,,PRODUCT_FLOW,0,,,320,,
597,407d2d61-0f0e-e5b8-96b9-d7340621c9d5,CUTOFF production; loaders/backhoes; 50-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
599,bf17fc2c-f0e4-3352-8a4f-c08403047d53,"work; loaders/backhoes for dur wheat harvest, 2014 fleet, all fuels; 50-100HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
601,4517ac12-ccae-e239-5f5d-ad3828e96f3a,CUTOFF spare part set; loaders/backhoes; 50-100HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
603,468db47e-a224-37fd-9ad3-576b05539bfe,"work; sprayers for soybeans harvest, 2014 fleet, all fuels; 300-600HP",0,0,51,,PRODUCT_FLOW,0,,,350,,
605,624b9c5d-c1be-b261-1939-81d194fec874,CUTOFF production; loaders/backhoes; 100-175HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
607,b2c91b2a-6715-f6f4-a32f-36a50f875f4c,CUTOFF spare part set; loaders/backhoes; 100-175HP,0,0,51,,PRODUCT_FLOW,0,,,320,,
